English,POS,Thai
ruined,Adjective,เจ๊ง
rule,"Noun, Verb (usu participle)",กฎ
rule out,"Noun, Verb (usu participle)",ออกกฎ
ruler,Noun,ไม้บรรทัด
rumour,"Noun, Verb (transitive)",ข่าวลือ
run,"Verb (usu participle), Verb (intransitive)",วิ่ง
run after,"Verb (usu participle), Verb (intransitive)",วิ่งตาม
run away,"Verb (usu participle), Verb (intransitive)",วิ่งหนี
runner,Noun,นักวิ่ง
running,"Adjective, Noun",วิ่ง
run out,"Verb (usu participle), Verb (intransitive)",หมด
run over,"Verb (usu participle), Verb (intransitive)",วิ่งไป
run through,"Verb (usu participle), Verb (intransitive)",วิ่งผ่าน
rural,Adjective,ชนบท
rush,"Verb (usu participle), Verb (intransitive)",รีบ
sack,"Noun, Verb (transitive)",กระสอบ
sad,"Adjective, Verb (usu participle)",เศร้า
sadly,Adverb,เศร้า
sadness,Noun,ความโศกเศร้า
safe,"Adjective, Adverb",ปลอดภัย
safely,Adverb,ได้อย่างปลอดภัย
safety,Noun,ความปลอดภัย
sail,"Noun, Verb (usu participle)",แล่นเรือ
sailing,"Noun, Adjective",การแล่นเรือใบ
sailor,Noun,กะลาสีเรือ
salad,Noun,สลัด
salary,"Noun, Verb (usu participle)",เงินเดือน
sale,Noun,ขาย
salt,"Noun, Verb (transitive)",เกลือ
salty,Adjective,เค็ม
same,"Adjective, Adverb",เดียวกัน
sample,"Noun, Verb (transitive)",ตัวอย่าง
sand,"Noun, Verb (transitive)",ทราย
satisfaction,Noun,ความพึงพอใจ
satisfied,"Adjective, Verb (intransitive)",พอใจ
satisfy,Verb (usu participle),ทำให้พึงพอใจ
satisfying,"|, Noun",น่าพอใจ
Saturday,Noun,วันเสาร์
sauce,"Noun, Verb (transitive)",ซอส
save,"Verb (transitive), Verb (intransitive)",บันทึก
saving,"Adjective, Noun",ประหยัด
say,"Verb (usu participle), Adverb",พูด
scale,"Noun, Verb (transitive)",มาตราส่วน
scare,"Verb (usu participle), Verb (transitive)",ทำให้ตกใจ
scared,"Verb (usu participle), Adjective",กลัว
scare off,"Verb (usu participle), Verb (transitive)",ทำให้ตกใจ
scene,Noun,ฉาก
schedule,"Noun, Verb (transitive)",กำหนดการ
scheme,"Noun, Verb (transitive)",โครงการ
school,"Noun, Verb (transitive)",โรงเรียน
science,Noun,ศาสตร์
scientific,Adjective,ทางวิทยาศาสตร์
scientist,Noun,นักวิทยาศาสตร์
scissors,"Plural, Noun",กรรไกร
score,"Noun, Verb (transitive)",คะแนน
scratch,"Verb (usu participle), Verb (transitive)",เกา
scream,"Verb (usu participle), Verb (intransitive)",กรีดร้อง
screen,"Noun, Verb (transitive)",หน้าจอ
screw,"Noun, Verb (transitive)",สกรู
sea,"Noun, Adjective",ทะเล
seal,"Noun, Verb (transitive)",ผนึก
seal off,"Noun, Verb (transitive)",ปิดผนึก
search,"Verb (usu participle), Verb (transitive)",ค้นหา
season,"Noun, Verb (transitive)",ฤดูกาล
seat,"Noun, Verb (transitive)",ที่นั่ง
second 1,"Adjective, Noun",ที่สอง 1
secondary,"Adjective, Noun",รอง
secret,"Adjective, Noun",ความลับ
secretary,Noun,เลขานุการ
secretly,Adverb,แอบ
section,"Noun, Verb (transitive)",ส่วน
sector,Noun,ภาค
secure,"Adjective, Verb (transitive)",ปลอดภัย
security,Noun,ความปลอดภัย
see,"Verb (usu participle), Verb (transitive)",ดู
see about,"Verb (usu participle), Verb (transitive)",ดูเกี่ยวกับ
seed,"Noun, Verb (usu participle)",เมล็ดพันธุ์
seek,"Verb (usu participle), Noun",แสวงหา
seem,Verb (usu participle),ดูเหมือน
see to,"Verb (usu participle), Verb (transitive)",ดูเพื่อ
select,"Verb (usu participle), Adjective",เลือก
selection,Noun,การเลือก
self,"Noun, Pronoun",ตัวเอง
self-,"Noun, Pronoun",ตัวเอง-
sell,"Verb (usu participle), Verb (transitive)",ขาย
sell off,"Verb (usu participle), Verb (transitive)",ขายออก
sell out,"Verb (usu participle), Verb (transitive)",ขายหมด
senate,Noun,วุฒิสภา
senator,Noun,วุฒิสมาชิก
send,"Verb (usu participle), Verb (transitive)",ส่ง
send for,"Verb (usu participle), Verb (transitive)",ส่งไป
send off,"Verb (usu participle), Verb (transitive)",ส่งออกไป
senior,"Adjective, Noun",อาวุโส
sense,"Noun, Verb (transitive)",ความรู้สึก
sensible,"Adjective, Noun",สมเหตุสมผล
sensitive,Adjective,อ่อนไหว
sentence,"Noun, Verb (transitive)",ประโยค
separate,"Verb (usu participle), Verb (transitive)",แยก
separated,"Verb (usu participle), Adjective",แยกออกจากกัน
separately,Adverb,แยกกัน
separation,Noun,การแยก
September,Noun,กันยายน
series,Noun,ชุด
serious,Adjective,จริงจัง
seriously,Adverb,อย่างจริงจัง
servant,Noun,คนรับใช้
serve,"Verb (usu participle), Verb (transitive)",ให้บริการ
service,"Noun, Verb (transitive)",บริการ
session,Noun,การประชุม
set,"Verb (usu participle), Verb (intransitive)",ชุด
set off,"Verb (usu participle), Verb (intransitive)",ออกเดินทาง
set out,"Verb (usu participle), Verb (intransitive)",ออกเดินทาง
settle,"Verb (transitive), Verb (intransitive)",ชำระ
settle down,"Verb (transitive), Verb (intransitive)",ปักหลัก
set up,"Verb (usu participle), Verb (intransitive)",ตั้งค่า
seven,"Noun, Definite Article",เจ็ด
seventeen,"Noun, Definite Article",สิบเจ็ด
seventh,"Adjective, Noun",ที่เจ็ด
seventieth,"Adjective, Noun",ที่เจ็ดสิบ
seventy,"Noun, Definite Article",เจ็ดสิบ
several,"Definite Article, Adjective",หลาย
severe,Adjective,รุนแรง
severely,Adverb,อย่างรุนแรง
sew,"Verb (usu participle), Verb (transitive)",เย็บ
sewing,Noun,เย็บ
sex,"Noun, Verb (transitive)",เพศ
sexual,Adjective,ทางเพศ
sexually,Adverb,ทางเพศ
shade,"Noun, Verb (usu participle)",ร่มเงา
shadow,"Noun, Verb (transitive)",เงา
shake,"Verb (usu participle), Verb (transitive)",เขย่า
shall,Verb (usu participle),จะ
shallow,"Adjective, Noun",ตื้น
shame,"Noun, Verb (transitive)",ความอัปยศ
shape,"Noun, Verb (usu participle)",รูปร่าง
shaped,"Adjective, Verb (usu participle)",มีรูปร่าง
share,"Noun, Verb (transitive)",แบ่งปัน
sharp,"Adjective, Adverb",คม
sharply,Adverb,อย่างรวดเร็ว
shave,"Verb (usu participle), Noun",โกน
she,"Pronoun, Noun",เธอ
sheep,Noun,แกะ
sheet,"Noun, Verb (transitive)",แผ่น
shelf,Noun,ชั้นวาง
shell,"Noun, Verb (usu participle)",เปลือก
shelter,"Noun, Verb (transitive)",ที่หลบภัย
shift,"Verb (usu participle), Verb (transitive)",กะ
shine,"Verb (usu participle), Verb (intransitive)",ส่องแสง
shiny,Adjective,มันเงา
ship,"Noun, Verb (usu participle)",เรือ
shirt,"Noun, Verb (usu participle)",เสื้อ
shock,"Verb (usu participle), Noun",ช็อก
shocked,Adjective,ตกใจ
shocking,Adjective,ตกตะลึง
shoe,"Noun, Verb (usu participle)",รองเท้า
shoot,"Verb (usu participle), Verb (transitive)",ยิง
shoot down,"Verb (usu participle), Verb (transitive)",ยิงลงไป
shooting,"Verb (usu participle), Noun",การยิง
shop,"Noun, Verb (usu participle)",ร้านค้า
shopping,Noun,ช้อปปิ้ง
short,"Adjective, Adverb",สั้น
shortly,Adverb,ไม่นาน
shot,"Noun, Verb (usu participle)",ยิง
should,Verb (usu participle),ควร
shoulder,"Noun, Verb (transitive)",ไหล่
shout,"Noun, Verb (usu participle)",ตะโกน
show,"Verb (usu participle), Verb (transitive)",แสดง
shower,"Noun, Verb (transitive)",อาบน้ำ
show off,"Verb (usu participle), Verb (transitive)",แสดงออก
show round,"Verb (usu participle), Verb (transitive)",แสดงรอบ
show up,"Verb (usu participle), Verb (transitive)",แสดงขึ้นมา
shut,"Verb (usu participle), Verb (transitive)",ปิด
shut down,"Verb (usu participle), Verb (transitive)",ปิดตัวลง
shut in,"Verb (usu participle), Verb (transitive)",ปิดเข้า
shut out,"Verb (usu participle), Verb (transitive)",ปิด
shut up,"Verb (usu participle), Verb (transitive)",หุบปาก
shy,"Adjective, Verb (usu participle)",อาย
sick,"Adjective, Noun",ป่วย
side,"Noun, Adjective",ด้านข้าง
sideways,"Adverb, Adjective",ด้านข้าง
sight,"Noun, Verb (transitive)",ภาพ
sign,"Noun, Verb (usu participle)",เข้าสู่ระบบ
signal,"Noun, Adjective",สัญญาณ
signature,Noun,ลายเซ็น
significant,Adjective,สำคัญ
significantly,Adverb,อย่างมีนัยสำคัญ
silence,"Noun, Verb (transitive)",ความเงียบ
silent,"Adjective, Noun",เงียบ
silk,"Noun, Verb (intransitive)",ผ้าไหม
silly,"Adjective, Noun",โง่
silver,"Noun, Adjective",เงิน
similar,Adjective,คล้ายกัน
similarly,Adverb,ในทำนองเดียวกัน
simple,"Adjective, Noun",เรียบง่าย
simply,Adverb,อย่างง่าย
since,"Preposition, Conjunction",เนื่องจาก
sincere,Adjective,จริงใจ
sincerely,Adverb,ขอแสดงความนับถือ
sing,"Verb (usu participle), Verb (intransitive)",ร้องเพลง
singer,Noun,นักร้อง
singing,Noun,ร้องเพลง
single,"Adjective, Noun",เดี่ยว
sink,"Verb (usu participle), Noun",จม
sir,Noun,ท่าน
sister,"Noun, Adjective",น้องสาว
sit,"Verb (usu participle), Verb (transitive)",นั่ง
sit down,"Verb (usu participle), Verb (transitive)",นั่งลง
site,"Noun, Verb (transitive)",เว็บไซต์
situation,Noun,สถานการณ์
six,"Noun, Definite Article",หก
sixteen,"Noun, Adjective",สิบหก
sixth,"Adjective, Noun",ที่หก
sixtieth,"Adjective, Noun",ที่หกสิบ
sixty,"Noun, Definite Article",หกสิบ
size,"Noun, Verb (usu participle)",ขนาด
skilful,Adjective,เก่ง
skilfully,Adverb,อย่างชำนาญ
skill,Noun,ทักษะ
skilled,Adjective,มีทักษะ
skin,"Noun, Verb (usu participle)",ผิว
skirt,"Noun, Verb (transitive)",กระโปรง
sky,"Noun, Verb (usu participle)",ท้องฟ้า
sleep,"Noun, Verb (usu participle)",นอน
sleeve,"Noun, Verb (transitive)",ปลอกหุ้ม
slice,"Noun, Verb (usu participle)",ชิ้น
slide,"Verb (usu participle), Verb (intransitive)",สไลด์
slight,"Adjective, Verb (transitive)",เล็กน้อย
slightly,Adverb,เล็กน้อย
slip,"Verb (usu participle), Verb (intransitive)",ลื่น
slope,"Verb (usu participle), Verb (intransitive)",ความลาดชัน
slow,"Adjective, Adverb",ช้า
slowly,Adverb,ช้า
small,"Adjective, Adverb",เล็ก
smart,"Adjective, Verb (usu participle)",ปราดเปรื่อง
smash,"Verb (usu participle), Verb (transitive)",ทุบ
smell,"Verb (usu participle), Verb (intransitive)",กลิ่น
smile,"Noun, Verb (intransitive)",รอยยิ้ม
smoke,"Noun, Verb (transitive)",ควัน
smoking,"Noun, Verb (usu participle)",สูบบุหรี่
smooth,"Adjective, Adverb",เรียบ
smoothly,Adverb,ได้อย่างราบรื่น
snake,"Noun, Verb (intransitive)",งู
snow,"Noun, Verb (intransitive)",หิมะ
so,"Adverb, Conjunction",ดังนั้น
soap,"Noun, Verb (transitive)",สบู่
social,"Adjective, Noun",ทางสังคม
socially,Adverb,ในสังคม
society,Noun,สังคม
sock,"Noun, Verb (transitive)",ถุงเท้า
soft,"Adjective, Adverb",อ่อนนุ่ม
softly,Adverb,เบา ๆ
software,Noun,ซอฟต์แวร์
soil,"Noun, Verb (usu participle)",ดิน
soldier,"Noun, Verb (intransitive)",ทหาร
solid,"Adjective, Noun",แข็ง
solution,Noun,สารละลาย
solve,"Verb (transitive), Verb (usu participle)",แก้ปัญหา
some,"Definite Article, Adverb",บาง
somebody,"Pronoun, Noun",ใครบางคน
somehow,Adverb,อย่างใด
someone,"Pronoun, Noun",บางคน
something,"Pronoun, Adverb",บางสิ่งบางอย่าง
sometimes,Adverb,บางครั้ง
somewhat,Adverb,ค่อนข้าง
somewhere,Adverb,ที่ไหนสักแห่ง
son,Noun,ลูกชาย
song,Noun,เพลง
soon,Adverb,เร็วๆ นี้
sore,"Adjective, Noun",เจ็บ
sorry,"Adjective, Interjection",ขอโทษ
sort,"Noun, Verb (transitive)",เรียงลำดับ
sort out,"Noun, Verb (transitive)",จัดเรียงออก
soul,Noun,วิญญาณ
sound,"Noun, Verb (usu participle)",เสียง
soup,"Noun, Verb (usu participle)",ซุป
sour,"Adjective, Noun",เปรี้ยว
source,Noun,แหล่งที่มา
south,"Noun, Adjective",ใต้
southern,Adjective,ภาคใต้
space,"Noun, Verb (transitive)",ช่องว่าง
spare,"Verb (transitive), Verb (intransitive)",สำรอง
speak,"Verb (usu participle), Verb (intransitive)",พูด
speaker,Noun,ผู้พูด
speak out,"Verb (usu participle), Verb (intransitive)",พูดออกมา
speak up,"Verb (usu participle), Verb (intransitive)",พูดออกมา
special,"Adjective, Noun",พิเศษ
specialist,"Noun, Adjective",ผู้เชี่ยวชาญ
specially,Adverb,โดยเฉพาะ
specific,"Adjective, Noun",เฉพาะเจาะจง
specifically,Adverb,โดยเฉพาะ
speech,Noun,คำพูด
speed,"Noun, Verb (usu participle)",ความเร็ว
speed up,"Noun, Verb (usu participle)",เร่งความเร็ว
spell,"Verb (usu participle), Verb (transitive)",สะกด
spelling,Noun,การสะกดคำ
spend,"Verb (usu participle), Verb (transitive)",ใช้จ่าย
spice,"Noun, Verb (transitive)",เครื่องเทศ
spicy,Adjective,เผ็ด
spider,Noun,แมงมุม
spin,"Verb (usu participle), Verb (transitive)",หมุน
spirit,"Noun, Verb (transitive)",วิญญาณ
spiritual,"Adjective, Noun",จิตวิญญาณ
spite,"Noun, Verb (transitive)",ทั้งๆที่
split,"Verb (usu participle), Verb (transitive)",แยก
split up,"Verb (usu participle), Verb (transitive)",แยกออก
spoil,"Verb (usu participle), Verb (transitive)",นิสัยเสีย
spoken,"Verb (usu participle), Adjective",พูดแล้ว
spoon,"Noun, Verb (transitive)",ช้อน
sport,"Noun, Verb (transitive)",กีฬา
spot,"Noun, Verb (usu participle)",จุด
spray,"Noun, Verb (usu participle)",สเปรย์
spread,"Verb (usu participle), Verb (transitive)",การแพร่กระจาย
spread out,"Verb (usu participle), Verb (transitive)",กระจายออกไป
spring,"Verb (usu participle), Verb (transitive)",ฤดูใบไม้ผลิ
square,"Noun, Adjective",สี่เหลี่ยม
squeeze,"Verb (usu participle), Verb (intransitive)",บีบ
stable,"Noun, Verb (usu participle)",มั่นคง
staff,"Noun, Verb (usu participle)",พนักงาน
stage,"Noun, Verb (transitive)",เวที
stair,Noun,บันได
stamp,"Verb (usu participle), Verb (intransitive)",แสตมป์
stand,"Verb (usu participle), Verb (transitive)",ยืน
standard,"Noun, Adjective",มาตรฐาน
stand back,"Verb (usu participle), Verb (transitive)",ยืนหยัด
stand by,"Verb (usu participle), Verb (transitive)",ยืนเคียงข้าง
stand for,"Verb (usu participle), Verb (transitive)",ยืนหยัดเพื่อ
stand out,"Verb (usu participle), Verb (transitive)",โดดเด่น
stand up,"Verb (usu participle), Verb (transitive)",ยืนขึ้น
stand up for,"Verb (usu participle), Verb (transitive)",ยืนหยัดเพื่อ
star,"Noun, Verb (usu participle)",ดาว
stare,"Verb (intransitive), Noun",จ้องมอง
start,"Verb (usu participle), Verb (intransitive)",เริ่ม
start off,"Verb (usu participle), Verb (intransitive)",เริ่มต้น
start out,"Verb (usu participle), Verb (intransitive)",เริ่มต้น
start up,"Verb (usu participle), Verb (intransitive)",เริ่มต้นขึ้น
state,"Noun, Verb (transitive)",สถานะ
statement,Noun,คำแถลง
station,"Noun, Verb (transitive)",สถานี
statue,Noun,รูปปั้น
status,Noun,สถานะ
stay,"Verb (intransitive), Verb (transitive)",อยู่
stay away,"Verb (intransitive), Verb (transitive)",อยู่ห่าง ๆ
stay out of,"Verb (intransitive), Verb (transitive)",อยู่ห่างจาก
steadily,Adverb,อย่างต่อเนื่อง
steady,"Adjective, Verb (usu participle)",มั่นคง
steal,"Verb (usu participle), Verb (transitive)",ขโมย
steam,"Noun, Verb (usu participle)",ไอน้ำ
steel,"Noun, Verb (transitive)",เหล็ก
steep,"Adjective, Verb (usu participle)",สูงชัน
steeply,Adverb,สูงชัน
steer,"Verb (usu participle), Verb (transitive)",คัดท้าย
step,"Noun, Verb (usu participle)",ขั้นตอน
stick,"Noun, Verb (usu participle)",ติด
stick out,"Noun, Verb (usu participle)",ยื่นออกมา
stick to,"Noun, Verb (usu participle)",ติด
stick up,"Noun, Verb (usu participle)",ติดขึ้น
sticky,"Adjective, Verb (transitive)",เหนียว
stiff,"Adjective, Noun",แข็ง
stiffly,Adverb,เคร่งครัด
still,"Adjective, Adverb",นิ่ง
sting,"Verb (usu participle), Verb (transitive)",ต่อย
stir,"Verb (usu participle), Verb (intransitive)",คน
stock,"Noun, Adjective",คลังสินค้า
stomach,"Noun, Verb (transitive)",ท้อง
stone,"Noun, Adverb",หิน
stop,"Verb (usu participle), Verb (transitive)",หยุด
store,"Verb (transitive), Verb (intransitive)",เก็บ
storm,"Noun, Verb (usu participle)",พายุ
story,"Noun, Verb (usu participle)",เรื่องราว
stove,"Noun, Verb (transitive)",เตา
straight,"Adjective, Adverb",ตรง
strain,"Verb (usu participle), Verb (intransitive)",ความเครียด
strange,"Adjective, Adverb",แปลก
strangely,Adverb,แปลก
stranger,Noun,คนแปลกหน้า
strategy,Noun,กลยุทธ์
stream,"Noun, Verb (usu participle)",ลำธาร
street,Noun,ถนน
strength,Noun,ความแข็งแกร่ง
stress,"Noun, Verb (transitive)",ความเครียด
stressed,Adjective,เครียด
stretch,"Verb (usu participle), Verb (transitive)",ยืด
strict,Adjective,เข้มงวด
strictly,Adverb,อย่างเคร่งครัด
strike,"Verb (usu participle), Verb (transitive)",โจมตี
striking,"Adjective, Noun",โดดเด่น
string,"Noun, Verb (usu participle)",เชือก
strip,"Verb (usu participle), Verb (intransitive)",เปลื้องผ้า
stripe,"Noun, Verb (transitive)",ลายทาง
striped,Adjective,ลาย
stroke,"Noun, Verb (transitive)",จังหวะ
strong,"Adjective, Adverb",แข็งแกร่ง
strongly,Adverb,อย่างยิ่ง
structure,"Noun, Verb (usu participle)",โครงสร้าง
struggle,"Verb (intransitive), Noun",การต่อสู้
student,Noun,นักเรียน
studio,Noun,สตูดิโอ
study,"Verb (usu participle), Verb (transitive)",ศึกษา
stuff,"Verb (usu participle), Verb (intransitive)",สิ่งของ
stupid,"Adjective, Noun",โง่
style,"Noun, Verb (usu participle)",สไตล์
subject,"Noun, Adjective",เรื่อง
substance,Noun,สาร
substantial,"Adjective, Noun",มากมาย
substantially,Adverb,อย่างมีนัยสำคัญ
substitute,"Verb (usu participle), Noun",ทดแทน
succeed,"Verb (intransitive), Verb (usu participle)",ประสบความสำเร็จ
success,Noun,ความสำเร็จ
successful,Adjective,ประสบความสำเร็จ
successfully,Adverb,ประสบความสำเร็จ
such,"Definite Article, Adverb",เช่น
suck,"Verb (usu participle), Verb (transitive)",ดูด
sudden,"Adjective, Noun",กะทันหัน
suddenly,Adverb,กะทันหัน
suffer,"Verb (usu participle), Verb (transitive)",ทุกข์ทรมาน
suffering,"Noun, Adjective",ความทุกข์
sufficient,"Adjective, Noun",เพียงพอ
sufficiently,Adverb,อย่างเพียงพอ
sugar,"Noun, Verb (transitive)",น้ำตาล
suggest,"Verb (transitive), Verb (usu participle)",แนะนำ
suggestion,Noun,คำแนะนำ
suit,"Noun, Verb (usu participle)",สูท
suitable,Adjective,เหมาะสม
suitcase,Noun,กระเป๋าเดินทาง
suited,Adjective,เหมาะสม
sum,"Noun, Verb (usu participle)",ผลรวม
summary,"Noun, Adjective",สรุป
summer,"Noun, Adverb",ฤดูร้อน
sum up,"Noun, Verb (usu participle)",สรุป
sun,"Noun, Verb (usu participle)",ดวงอาทิตย์
Sunday,Noun,วันอาทิตย์
superior,"Adjective, Noun",เหนือกว่า
supermarket,Noun,ซูเปอร์มาร์เก็ต
supply,"Verb (usu participle), Verb (transitive)",จัดหา
support,"Verb (transitive), Noun",สนับสนุน
supporter,Noun,ผู้สนับสนุน
suppose,"Verb (transitive), Verb (usu participle)",สมมติ
sure,"Adjective, Adverb",แน่นอน
surely,Adverb,แน่นอน
surface,"Noun, Verb (usu participle)",พื้นผิว
surname,"Noun, Verb (transitive)",นามสกุล
surprise,"Verb (transitive), Noun",เซอร์ไพรส์
surprised,"Verb (usu participle), Adjective",น่าประหลาดใจ
surprising,"Adjective, Noun",น่าแปลกใจ
surprisingly,Adverb,น่าแปลกใจ
surround,"Verb (transitive), Noun",ล้อมรอบ
surrounding,"Noun, Adjective",รอบๆ
surroundings,"Plural, Noun",สภาพแวดล้อม
survey,"Verb (usu participle), Verb (transitive)",สำรวจ
survive,"Verb (transitive), Verb (usu participle)",รอดชีวิต
suspect,"Verb (usu participle), Verb (transitive)",สงสัย
suspicion,Noun,ความสงสัย
suspicious,Adjective,สงสัย
swallow,"Verb (usu participle), Verb (intransitive)",กลืน
swear,"Verb (usu participle), Verb (intransitive)",สาบาน
swearing,"Verb (usu participle), Noun",สบถ
sweat,"Noun, Verb (usu participle)",เหงื่อ
sweater,Noun,เสื้อกันหนาว
sweep,"Verb (usu participle), Noun",กวาด
sweet,"Adjective, Adverb",หวาน
swell,"Verb (usu participle), Verb (intransitive)",บวม
swelling,"Noun, Adjective",บวม
swim,"Verb (usu participle), Verb (transitive)",ว่ายน้ำ
swimming,"Noun, Verb (usu participle)",การว่ายน้ำ
swimming pool,"Noun, Verb (usu participle)",สระว่ายน้ำ
swing,"Verb (usu participle), Noun",แกว่ง
switch,"Noun, Verb (usu participle)",สวิตช์
switch off,"Noun, Verb (usu participle)",ปิดสวิตช์
swollen,"Verb (usu participle), Adjective",บวม
symbol,"Noun, Verb (usu participle)",เครื่องหมาย
sympathetic,Adjective,เห็นใจ
sympathy,Noun,ความเห็นอกเห็นใจ
system,Noun,ระบบ
table,"Noun, Verb (transitive)",โต๊ะ
tablet,Noun,แท็บเล็ต
tackle,"Noun, Verb (transitive)",ต่อสู้
tail,"Noun, Verb (usu participle)",หาง
take,"Verb (usu participle), Verb (intransitive)",เอา
take away,"Verb (usu participle), Verb (intransitive)",เอาไป
take back,"Verb (usu participle), Verb (intransitive)",นำกลับมา
take down,"Verb (usu participle), Verb (intransitive)",ลง
take in,"Verb (usu participle), Verb (intransitive)",เข้ามา
take off,"Verb (usu participle), Verb (intransitive)",ถอดออก
take on,"Verb (usu participle), Verb (intransitive)",ใช้เวลา
take over,"Verb (usu participle), Verb (intransitive)",รับช่วงต่อ
take up,"Verb (usu participle), Verb (intransitive)",ใช้เวลาขึ้น
talk,"Verb (intransitive), Noun",พูดคุย
tall,Adjective,สูง
tank,"Noun, Verb (transitive)",ถัง
tap,"Verb (usu participle), Verb (transitive)",แตะ
tape,"Noun, Verb (usu participle)",เทป
target,"Noun, Verb (transitive)",เป้า
task,"Noun, Verb (transitive)",งาน
taste,"Noun, Verb (usu participle)",รสชาติ
tax,"Noun, Verb (transitive)",ภาษี
taxi,"Noun, Verb (usu participle)",แท็กซี่
tea,Noun,ชา
teach,"Verb (usu participle), Verb (transitive)",สอน
teacher,Noun,ครู
teaching,Noun,การสอน
team,"Noun, Verb (usu participle)",ทีม
tear 1,"Noun, Verb (usu participle)",น้ำตา 1
tear 2,"Noun, Verb (usu participle)",น้ำตา 2
tear up,"Noun, Verb (usu participle)",ฉีกขาด
technical,Adjective,เทคนิค
technique,Noun,เทคนิค
technology,Noun,เทคโนโลยี
telephone,"Noun, Verb (usu participle)",โทรศัพท์
television,Noun,โทรทัศน์
tell,"Verb (usu participle), Verb (transitive)",บอก
tell off,"Verb (usu participle), Verb (transitive)",บอกออกไป
temperature,Noun,อุณหภูมิ
temporarily,Adverb,ชั่วคราว
temporary,"Adjective, Noun",ชั่วคราว
ten,"Noun, Definite Article",สิบ
tend,"Verb (usu participle), Verb (intransitive)",มีแนวโน้ม
tendency,Noun,แนวโน้ม
tension,Noun,ความเครียด
tent,"Noun, Verb (intransitive)",เต็นท์
tenth,"Adjective, Noun",ที่สิบ
term,"Noun, Verb (transitive)",ภาคเรียน
terrible,Adjective,ย่ำแย่
terribly,Adverb,ชะมัด
test,"Verb (usu participle), Noun",ทดสอบ
text,Noun,ข้อความ
than,"Conjunction, Preposition",กว่า
thank,"Verb (transitive), Verb (usu participle)",ขอบคุณ
thanks,"Plural, Interjection",ขอบคุณ
thank you,"Verb (transitive), Verb (usu participle)",ขอบคุณ
that,"Definite Article, Conjunction",ที่
the,"Definite Article, Adverb",ที่
theatre,Noun,โรงภาพยนตร์
their,Definite Article,ของพวกเขา
theirs,Pronoun,พวกเขา
them,"Pronoun, Definite Article",พวกเขา
theme,Noun,ธีม
themselves,Pronoun,ตัวพวกเขาเอง
then,"Adverb, Noun",แล้ว
theory,Noun,ทฤษฎี
there,"Adverb, Pronoun",ที่นั่น
therefore,"Conjunction, Adverb",ดังนั้น
they,Pronoun,พวกเขา
thick,"Adjective, Adverb",หนา
thickly,Adverb,หนา
thickness,Noun,ความหนา
thief,Noun,ขโมย
thin,"Adjective, Adverb",บาง
thing,Noun,สิ่ง
think,"Verb (usu participle), Verb (intransitive)",คิด
think about,"Verb (usu participle), Verb (intransitive)",คิดเกี่ยวกับ
thinking,"Noun, Adjective",กำลังคิด
think of,"Verb (usu participle), Verb (intransitive)",คิดถึง
think of as,"Verb (usu participle), Verb (intransitive)",คิดว่าเป็น
think over,"Verb (usu participle), Verb (intransitive)",คิดทบทวน
think up,"Verb (usu participle), Verb (intransitive)",คิดขึ้นมา
third,"Adjective, Noun",ที่สาม
thirsty,Adjective,กระหายน้ำ
thirteen,"Noun, Definite Article",สิบสาม
thirteenth,"Adjective, Noun",ที่สิบสาม
thirtieth,"Adjective, Noun",สามสิบ
thirty,"Noun, Definite Article",สามสิบ
this,"Definite Article, Adverb",นี้
thorough,Adjective,อย่างละเอียด
thoroughly,Adverb,อย่างละเอียด
though,"Conjunction, Adverb",แม้ว่า
thought,"Verb (usu participle), Noun",คิด
thousand,"Noun, Definite Article",พัน
thousandth,"Adjective, Noun",ที่พัน
thread,"Noun, Verb (transitive)",ด้าย
threat,"Noun, Verb (usu participle)",ภัยคุกคาม
threaten,"Verb (transitive), Verb (usu participle)",ข่มขู่
threatening,Adjective,คุกคาม
three,"Noun, Definite Article",สาม
throat,Noun,คอ
through,"Preposition, Adjective",ผ่าน
throughout,"Preposition, Adverb",ตลอดทั้ง
throw,"Verb (usu participle), Noun",โยน
throw away,"Verb (usu participle), Noun",โยนทิ้งไป
throw out,"Verb (usu participle), Noun",โยนออกไป
thumb,"Noun, Verb (transitive)",นิ้วหัวแม่มือ
Thursday,Noun,วันพฤหัสบดี
thus,Adverb,ดังนั้น
ticket,"Noun, Verb (transitive)",ตั๋ว
tidy,"Adjective, Verb (usu participle)",เรียบร้อย
tie,"Verb (usu participle), Verb (transitive)",ผูก
tie up,"Verb (usu participle), Verb (transitive)",ผูกขึ้น
tight,"Adjective, Adverb",แน่น
tightly,Adverb,แน่น
till,"Conjunction, Preposition",จนถึง
time,"Noun, Verb (usu participle)",เวลา
timetable,Noun,ตารางเวลา
tin,"Noun, Adjective",ดีบุก
tiny,Adjective,ขนาดเล็ก
tip,"Verb (usu participle), Verb (transitive)",เคล็ดลับ
tip over,"Verb (usu participle), Verb (transitive)",หงายท้อง
tire,"Verb (transitive), Verb (intransitive)",ยาง
tired,"Adjective, Verb (usu participle)",เหนื่อย
tire out,"Verb (transitive), Verb (intransitive)",ยางออก
tiring,"Verb (usu participle), Adjective",เหนื่อย
title,"Noun, Verb (transitive)",ชื่อ
to,"Preposition, Adverb",ถึง
today,"Noun, Adverb",วันนี้
toe,"Noun, Verb (transitive)",นิ้วเท้า
